,0
"frozenset({'ZN', 'PTRATIO', 'RM'})",0.05956424242424243
"frozenset({'ZN', 'DIS', 'RM'})",0.026993388429752074
"frozenset({'B', 'RM', 'ZN'})",0.024074159779614326
"frozenset({'ZN', 'RM', 'LSTAT'})",0.045126391184573005
"frozenset({'ZN', 'RM', 'CRIM'})",0.050631735537190074
"frozenset({'TAX', 'RM', 'ZN'})",0.015097630853994482
"frozenset({'ZN', 'INDUS', 'RM'})",0.02692617079889806
"frozenset({'ZN', 'RM', 'AGE'})",0.03707498622589532
"frozenset({'ZN', 'RM', 'CHAS'})",0.025594820936639114
"frozenset({'ZN', 'NOX', 'RM'})",0.030706336088154252
"frozenset({'RAD', 'RM', 'ZN'})",0.025873223140495855
"frozenset({'ZN', 'RM'})",0.08970556473829201
"frozenset({'DIS', 'PTRATIO', 'RM'})",0.02527647382920109
"frozenset({'B', 'PTRATIO', 'RM'})",0.04807129476584023
"frozenset({'PTRATIO', 'LSTAT', 'RM'})",0.04356903581267216
"frozenset({'RM', 'PTRATIO', 'CRIM'})",0.03730920110192837
"frozenset({'TAX', 'PTRATIO', 'RM'})",0.04402198347107437
"frozenset({'INDUS', 'PTRATIO', 'RM'})",0.026093719008264474
"frozenset({'PTRATIO', 'AGE', 'RM'})",0.03784363636363636
"frozenset({'PTRATIO', 'CHAS', 'RM'})",0.02575333333333333
"frozenset({'NOX', 'PTRATIO', 'RM'})",0.039655261707989
"frozenset({'RAD', 'PTRATIO', 'RM'})",0.04891201101928373
"frozenset({'PTRATIO', 'RM'})",0.06160749311294764
"frozenset({'B', 'DIS', 'RM'})",0.025580440771349886
"frozenset({'DIS', 'RM', 'LSTAT'})",0.06053619834710745
"frozenset({'DIS', 'RM', 'CRIM'})",0.028104683195592287
"frozenset({'TAX', 'DIS', 'RM'})",0.014812617079889808
"frozenset({'DIS', 'INDUS', 'RM'})",0.039796969696969664
"frozenset({'DIS', 'RM', 'AGE'})",0.027731680440771348
"frozenset({'DIS', 'RM', 'CHAS'})",0.014321212121212122
"frozenset({'DIS', 'NOX', 'RM'})",0.0541031955922865
"frozenset({'RAD', 'DIS', 'RM'})",0.07759603305785123
"frozenset({'DIS', 'RM'})",0.051463305785123946
"frozenset({'B', 'RM', 'LSTAT'})",0.04105443526170799
"frozenset({'B', 'RM', 'CRIM'})",0.03901867768595042
"frozenset({'TAX', 'RM', 'B'})",0.015811460055096423
"frozenset({'B', 'INDUS', 'RM'})",0.015349972451790636
"frozenset({'B', 'RM', 'AGE'})",0.04042038567493112
"frozenset({'B', 'RM', 'CHAS'})",0.012779228650137744
"frozenset({'B', 'NOX', 'RM'})",0.014581983471074377
"frozenset({'RAD', 'RM', 'B'})",0.028093333333333328
"frozenset({'B', 'RM'})",0.027066887052341594
"frozenset({'RM', 'LSTAT', 'CRIM'})",0.06471906336088153
"frozenset({'TAX', 'RM', 'LSTAT'})",0.05779531680440772
"frozenset({'INDUS', 'LSTAT', 'RM'})",0.025167107438016527
"frozenset({'LSTAT', 'RM', 'AGE'})",0.08491696969696969
"frozenset({'RM', 'CHAS', 'LSTAT'})",0.11734292011019284
"frozenset({'NOX', 'RM', 'LSTAT'})",0.02715564738292011
"frozenset({'RAD', 'RM', 'LSTAT'})",0.05891988980716257
"frozenset({'RM', 'LSTAT'})",0.1108925068870523
"frozenset({'TAX', 'RM', 'CRIM'})",0.02629190082644629
"frozenset({'INDUS', 'CRIM', 'RM'})",0.025395922865013784
"frozenset({'RM', 'AGE', 'CRIM'})",0.030081101928374664
"frozenset({'RM', 'CHAS', 'CRIM'})",0.04053696969696973
"frozenset({'NOX', 'RM', 'CRIM'})",0.016174214876033058
"frozenset({'RAD', 'RM', 'CRIM'})",0.05126617079889806
"frozenset({'RM', 'CRIM'})",0.06925597796143247
"frozenset({'TAX', 'INDUS', 'RM'})",0.03494898071625344
"frozenset({'TAX', 'RM', 'AGE'})",0.04958705234159781
"frozenset({'TAX', 'RM', 'CHAS'})",0.04544033057851238
"frozenset({'TAX', 'NOX', 'RM'})",0.0
"frozenset({'RAD', 'RM', 'TAX'})",0.02741537190082645
"frozenset({'TAX', 'RM'})",0.06042231404958677
"frozenset({'INDUS', 'AGE', 'RM'})",0.07560903581267218
"frozenset({'INDUS', 'CHAS', 'RM'})",0.03639977961432505
"frozenset({'NOX', 'INDUS', 'RM'})",0.025840716253443537
"frozenset({'RAD', 'INDUS', 'RM'})",0.036257741046831965
"frozenset({'INDUS', 'RM'})",0.11570776859504134
"frozenset({'RM', 'CHAS', 'AGE'})",0.026899338842975195
"frozenset({'NOX', 'RM', 'AGE'})",0.03204429752066115
"frozenset({'RAD', 'RM', 'AGE'})",0.07279785123966943
"frozenset({'RM', 'AGE'})",0.13056303030303038
"frozenset({'NOX', 'RM', 'CHAS'})",0.013896584022038574
"frozenset({'RAD', 'RM', 'CHAS'})",0.06878611570247933
"frozenset({'RM', 'CHAS'})",0.0720608815426997
"frozenset({'RAD', 'NOX', 'RM'})",0.05277889807162532
"frozenset({'NOX', 'RM'})",0.05455537190082647
"frozenset({'RAD', 'RM'})",0.027106666666666668
frozenset({'RM'}),0.5430686501377411
"frozenset({'ZN', 'DIS', 'PTRATIO'})",0.006178071625344349
"frozenset({'B', 'PTRATIO', 'ZN'})",0.006086446280991724
"frozenset({'ZN', 'PTRATIO', 'LSTAT'})",0.010457520661157016
"frozenset({'ZN', 'PTRATIO', 'CRIM'})",0.007904958677685951
