,frozenset({'RM'}),frozenset({'LSTAT'}),frozenset({'NOX'}),"frozenset({'RM', 'AGE'})","frozenset({'NOX', 'LSTAT'})","frozenset({'RM', 'CHAS', 'LSTAT'})","frozenset({'ZN', 'LSTAT'})","frozenset({'INDUS', 'RM'})","frozenset({'RM', 'LSTAT'})","frozenset({'RAD', 'LSTAT'})"
7,-0.4086799999999999,-0.3076599999999993,0.14135333333333372,-0.021853333333333336,-0.022040000000000035,-0.038799999999999946,-0.11813333333333328,-0.09983333333333319,-0.041006666666666615,-0.07422666666666658
8,-0.5258000000000007,-0.3676533333333335,0.10365333333333329,-0.08208666666666677,-0.14572,-0.20075333333333342,-0.20830666666666672,-0.06066000000000004,-0.0918,-0.09330666666666669
10,-0.23125999999999963,-0.38999999999999935,0.1031333333333338,-0.04981999999999999,-0.1499599999999997,-0.0867799999999999,-0.06706666666666662,-0.0981266666666666,-0.09952666666666661,-0.04665999999999988
13,-0.34192000000000056,0.1174799999999993,-0.008566666666666656,-0.0029733333333334263,0.014479999999999963,0.051833333333333315,0.04367333333333325,-0.030533333333333332,-0.039520000000000124,0.0403399999999998
17,-0.27332000000000023,-0.06843999999999985,-0.035813333333333267,-0.09823333333333344,0.053266666666666844,-0.028500000000000143,-0.010939999999999929,-0.14079999999999998,-0.053986666666666565,-0.028919999999999953
18,-0.4703933333333344,0.02875999999999904,0.0035800000000002184,0.02721333333333324,-0.03703333333333337,-0.055420000000000004,-0.034900000000000125,-0.055573333333333474,0.023179999999999767,0.017299999999999798
19,-0.3098066666666673,0.060966666666666024,-0.010920000000000029,-0.09493333333333329,0.007626666666666537,-0.030813333333333307,0.014493333333333188,-0.07523333333333351,0.004293333333333216,0.019486666666666548
20,-0.45840000000000003,-0.517793333333333,-0.0009799999999996463,-0.09858666666666671,-0.13752666666666646,-0.11525999999999982,-0.12089333333333328,-0.06437333333333323,-0.13724666666666652,-0.11574666666666654
21,-0.327866666666667,0.04109999999999979,-0.013473333333333197,-0.07394666666666673,0.03542666666666666,-0.05584666666666668,0.03352666666666657,-0.03901999999999999,-0.057459999999999976,0.012846666666666605
23,-0.5974733333333331,-0.4816399999999993,0.05828000000000059,-0.09232000000000004,-0.0857866666666665,-0.16296666666666657,-0.12867333333333322,-0.16733333333333328,-0.16251999999999983,-0.1040999999999999
27,-0.15040000000000014,-0.33526666666666705,-0.05647333333333332,-0.09005999999999995,-0.08252000000000002,-0.022093333333333316,-0.14663333333333342,-0.08166666666666653,-0.07079333333333329,-0.10048666666666677
31,-0.4073066666666666,0.17373999999999995,-0.01837999999999957,-0.18409999999999993,0.09019333333333338,-0.034060000000000014,0.06679333333333327,-0.08419333333333333,0.04241999999999995,0.05902666666666678
38,-0.5591333333333324,0.0391800000000001,0.026513333333333867,0.014013333333333412,-0.02857333333333333,0.08097333333333329,0.0056666666666666645,-0.05660666666666657,-0.009399999999999941,0.019573333333333363
52,-0.3184866666666669,0.42567333333333335,0.06052666666666678,0.06447333333333334,0.17319333333333323,0.13653333333333326,0.12341999999999995,-0.10860666666666677,-0.019606666666666682,0.10746666666666665
66,-0.5635066666666666,-0.03448666666666696,0.05585333333333427,-0.07167333333333342,0.02919333333333333,-0.13150666666666658,0.012579999999999873,-0.09832666666666663,0.01379999999999995,-0.04939333333333341
68,-0.4896133333333345,-0.01881333333333392,0.018986666666666374,-0.07658000000000019,0.01971333333333331,-0.13285333333333338,-0.002000000000000206,-0.1128200000000002,-0.05652000000000004,0.009553333333333231
70,-0.4191200000000003,0.29122666666666625,0.021160000000000043,-0.008359999999999914,0.19858666666666674,0.17051999999999998,0.10583999999999995,-0.07380000000000002,0.02811999999999988,0.07583333333333327
72,-0.34920000000000045,0.19064666666666621,-0.010373333333333434,-0.07248666666666657,0.12352666666666651,0.08993333333333323,0.12321999999999989,-0.049626666666666826,-0.006800000000000009,0.05822666666666656
89,0.848293333333334,0.1901666666666671,0.03167999999999946,0.27260666666666694,0.04127333333333326,-0.05015333333333321,0.043026666666666775,0.25996,0.13989333333333345,0.005726666666666702
98,2.6206933333333327,0.3027399999999996,0.0059199999999999635,0.5238800000000001,0.11614666666666645,0.4540799999999997,0.1305999999999999,0.5634333333333331,0.46858666666666654,0.09885333333333335
103,-0.18910666666666665,0.031620000000000606,0.007913333333333293,-0.005600000000000106,-0.030139999999999945,-0.1912999999999998,-0.013979999999999866,-0.02450666666666662,0.010713333333333448,-0.04683333333333318
109,-0.21540666666666672,-0.26744000000000034,0.009760000000000038,-0.0503266666666667,-0.06578666666666662,0.03174666666666664,-0.06975333333333333,-0.06912666666666668,-0.09132,-0.08670666666666679
111,0.6145133333333321,0.3462666666666666,-0.07911333333333306,0.07232666666666664,-0.008446666666666698,0.12917999999999985,-0.004979999999999976,-0.002980000000000101,0.11043333333333322,0.10498000000000016
114,-0.07808666666666593,0.17832000000000073,-0.002439999999999802,-0.008346666666666587,0.07116666666666685,-0.006879999999999929,0.016120000000000113,-0.14921999999999994,0.0039000000000001833,0.02848666666666678
116,-0.38649333333333324,0.026833333333333532,0.0007266666666670929,0.01300666666666667,0.027826666666666736,0.06556666666666677,-0.01753999999999993,-0.07971999999999985,-0.052119999999999965,0.0027000000000000964
118,-0.44624000000000025,-0.0965133333333339,0.025579999999999867,-0.10011333333333333,-0.05047333333333337,-0.05503333333333329,-0.020186666666666693,-0.21404666666666666,-0.0599600000000001,-0.009373333333333385
122,-0.4184266666666671,-0.4023933333333333,0.07013333333333296,-0.07167333333333342,-0.006680000000000105,-0.1625933333333334,-0.1866666666666667,-0.005073333333333269,-0.07661999999999995,-0.08042666666666674
140,-0.43619333333333327,-0.5480466666666668,-0.034353333333333576,-0.10384666666666671,-0.15169333333333346,-0.08566666666666667,-0.19648000000000007,-0.06596666666666663,-0.28705333333333327,-0.19488666666666665
143,-0.34197333333333335,-0.9882199999999999,-0.2259200000000005,-0.08339333333333339,-0.18182666666666672,-0.1633266666666666,-0.24674666666666667,-0.11327333333333352,-0.1617333333333333,-0.23675333333333345
144,-0.45404666666666665,-1.1540800000000007,-0.171026666666667,-0.07662666666666669,-0.21886666666666685,-0.09320666666666669,-0.28686666666666677,-0.06249333333333342,-0.2287600000000001,-0.22818000000000016
147,-0.31966000000000033,-0.780906666666667,-0.1455133333333338,-0.07172000000000008,-0.10015333333333346,-0.25288,-0.20486666666666667,-0.03728000000000003,-0.24028000000000005,-0.19705333333333333
149,-0.48482,-0.46127999999999997,-0.21500000000000094,-0.15257333333333323,-0.22223333333333334,-0.11237999999999995,-0.07038666666666664,-0.06941333333333345,-0.08419333333333327,-0.11361999999999993
151,-0.9748266666666675,0.04785333333333303,-0.018966666666667357,-0.22415333333333345,0.007066666666666664,0.003800000000000126,-0.0004400000000000759,-0.1396266666666668,-0.0009266666666667215,0.010059999999999925
155,-0.4105533333333332,-0.2999533333333332,-0.06710000000000016,-0.20741999999999994,-0.08558666666666673,-0.035333333333333335,0.013913333333333307,-0.08228666666666665,-0.10383999999999997,-0.08303333333333329
156,-0.37767333333333325,-0.32747999999999966,-0.062373333333333454,-0.22785333333333332,-0.09411333333333345,-0.10805333333333338,-0.030526666666666723,-0.07756666666666664,-0.04538666666666671,-0.0959733333333333
163,3.098513333333334,0.4929733333333338,0.021033333333333366,0.6353866666666665,0.16936666666666667,0.49944666666666676,0.13357333333333338,0.7404666666666668,0.5595333333333333,0.12414666666666695
164,-0.7316199999999999,0.12506000000000034,0.012893333333333529,-0.13484,0.07395333333333336,-0.09848000000000008,0.05123333333333348,-0.08841999999999997,-0.00405333333333329,0.06051333333333334
165,-0.21681333333333386,0.11137999999999977,0.01621333333333333,-0.2816733333333334,0.0351399999999999,-0.011106666666666633,0.06664666666666663,-0.02018000000000004,-0.09154666666666678,0.12326666666666644
174,-0.504606666666667,0.054826666666666704,0.026493333333334056,-0.04412666666666669,0.10678666666666663,0.009040000000000117,0.02657333333333328,-0.03217999999999999,0.0034333333333333134,-0.009813333333333224
177,-0.3280866666666671,0.34366666666666634,-0.0013933333333333428,-0.16080000000000008,0.17164666666666678,0.06734666666666664,0.1407666666666666,-0.13500000000000004,0.018573333333333237,0.09539999999999993
184,-0.6975199999999994,0.0024666666666671353,0.017373333333333487,-0.12163333333333325,0.048233333333333475,-0.019373333333333218,-0.011839999999999917,-0.06217999999999981,-0.006013333333333257,0.03699333333333351
193,0.18274666666666606,0.263513333333333,0.023606666666666824,0.1150533333333333,0.16832,0.20869333333333334,0.2901933333333333,0.10761999999999991,0.10943999999999988,0.12659333333333322
209,-0.7566000000000003,-0.47488666666666696,0.12376666666666639,-0.16298666666666659,-0.0674333333333334,-0.09522000000000003,-0.12752,-0.01313333333333334,-0.13066000000000008,-0.11892000000000001
210,-0.3590600000000003,-0.10744000000000006,0.08825999999999998,-0.19245333333333345,-0.052346666666666736,-0.12698666666666658,-0.08905333333333336,-0.06622000000000007,-0.011053333333333283,-0.029539999999999983
215,-0.11880666666666642,0.16854000000000005,0.06017333333333301,-0.013026666666666482,0.10320666666666664,0.06015999999999997,0.06719333333333334,0.00998000000000007,0.046860000000000034,-6.666666666667709e-05
219,-0.278006666666666,0.04525333333333373,0.04392,-0.1335799999999999,-0.052033333333333355,0.0752933333333335,-0.05370666666666654,-0.08393999999999993,-0.01941999999999988,0.026086666666666775
221,-0.2769466666666665,-0.31043333333333334,0.11078666666666694,-0.07288000000000006,-0.08506000000000005,-0.13572666666666658,-0.13088666666666668,-0.05087333333333324,-0.0700733333333333,-0.06843333333333332
223,0.11520666666666553,0.330086666666666,0.07301999999999952,0.10383333333333324,0.08656666666666647,0.012159999999999904,0.10043999999999981,-0.0398000000000002,0.1355933333333332,0.08671999999999976
225,2.6974,0.20668000000000022,-0.0018999999999999772,0.5767066666666665,0.10695999999999989,0.5323933333333334,0.09807333333333343,0.5306333333333332,0.4185266666666666,0.03517333333333334
