,0
B,0.0
RM,0.0
ZN,0.0
AGE,0.0
DIS,0.0
NOX,0.0
RAD,0.0
TAX,0.0
CHAS,0.0
CRIM,0.0
"B, RM",0.0
"B, ZN",0.0
INDUS,0.0
LSTAT,0.0
"AGE, B",0.0
"B, DIS",0.0
"B, NOX",0.0
"B, RAD",0.0
"B, TAX",0.0
"RM, ZN",0.0
"AGE, RM",0.0
"AGE, ZN",0.0
"B, CHAS",0.0
"B, CRIM",0.0
"DIS, RM",0.0
"DIS, ZN",0.0
"NOX, RM",0.0
"NOX, ZN",0.0
PTRATIO,0.0
"RAD, RM",0.0
"RAD, ZN",0.0
"RM, TAX",0.0
"TAX, ZN",0.0
"AGE, DIS",0.0
"AGE, NOX",0.0
"AGE, RAD",0.0
"AGE, TAX",0.0
"B, INDUS",0.0
"B, LSTAT",0.0
"CHAS, RM",0.0
"CHAS, ZN",0.0
"CRIM, RM",0.0
"CRIM, ZN",0.0
"DIS, NOX",0.0
"DIS, RAD",0.0
"DIS, TAX",0.0
"NOX, RAD",0.0
"NOX, TAX",0.0
"RAD, TAX",0.0
"AGE, CHAS",0.0
"AGE, CRIM",0.0
"B, RM, ZN",0.0
"CHAS, DIS",0.0
"CHAS, NOX",0.0
"CHAS, RAD",0.0
"CHAS, TAX",0.0
"CRIM, DIS",0.0
"CRIM, NOX",0.0
"CRIM, RAD",0.0
"CRIM, TAX",0.0
"INDUS, RM",0.0
"INDUS, ZN",0.0
"LSTAT, RM",0.0
"LSTAT, ZN",0.0
"AGE, B, RM",0.0
"AGE, B, ZN",0.0
"AGE, INDUS",0.0
"AGE, LSTAT",0.0
"B, DIS, RM",0.0
"B, DIS, ZN",0.0
"B, NOX, RM",0.0
"B, NOX, ZN",0.0
"B, PTRATIO",0.0
"B, RAD, RM",0.0
"B, RAD, ZN",0.0
"B, RM, TAX",0.0
"B, TAX, ZN",0.0
"CHAS, CRIM",0.0
"DIS, INDUS",0.0
"DIS, LSTAT",0.0
"INDUS, NOX",0.0
"INDUS, RAD",0.0
"INDUS, TAX",0.0
"LSTAT, NOX",0.0
"LSTAT, RAD",0.0
"LSTAT, TAX",0.0
"AGE, B, DIS",0.0
"AGE, B, NOX",0.0
"AGE, B, RAD",0.0
"AGE, B, TAX",0.0
"AGE, RM, ZN",0.0
"B, CHAS, RM",0.0
"B, CHAS, ZN",0.0
"B, CRIM, RM",0.0
"B, CRIM, ZN",0.0
"B, DIS, NOX",0.0
"B, DIS, RAD",0.0
"B, DIS, TAX",0.0
"B, NOX, RAD",0.0
"B, NOX, TAX",0.0
"B, RAD, TAX",0.0
"CHAS, INDUS",0.0
"CHAS, LSTAT",0.0
"CRIM, INDUS",0.0
"CRIM, LSTAT",0.0
"DIS, RM, ZN",0.0
"NOX, RM, ZN",0.0
"PTRATIO, RM",0.0
"PTRATIO, ZN",0.0
"RAD, RM, ZN",0.0
"RM, TAX, ZN",0.0
"AGE, B, CHAS",0.0
"AGE, B, CRIM",0.0
"AGE, DIS, RM",0.0
"AGE, DIS, ZN",0.0
"AGE, NOX, RM",0.0
"AGE, NOX, ZN",0.0
"AGE, PTRATIO",0.0
"AGE, RAD, RM",0.0
"AGE, RAD, ZN",0.0
"AGE, RM, TAX",0.0
"AGE, TAX, ZN",0.0
"B, CHAS, DIS",0.0
"B, CHAS, NOX",0.0
"B, CHAS, RAD",0.0
"B, CHAS, TAX",0.0
"B, CRIM, DIS",0.0
"B, CRIM, NOX",0.0
"B, CRIM, RAD",0.0
"B, CRIM, TAX",0.0
"B, INDUS, RM",0.0
"B, INDUS, ZN",0.0
"B, LSTAT, RM",0.0
"B, LSTAT, ZN",0.0
"CHAS, RM, ZN",0.0
"CRIM, RM, ZN",0.0
"DIS, NOX, RM",0.0
"DIS, NOX, ZN",0.0
"DIS, PTRATIO",0.0
"DIS, RAD, RM",0.0
"DIS, RAD, ZN",0.0
"DIS, RM, TAX",0.0
"DIS, TAX, ZN",0.0
"INDUS, LSTAT",0.0
"NOX, PTRATIO",0.0
"NOX, RAD, RM",0.0
"NOX, RAD, ZN",0.0
"NOX, RM, TAX",0.0
"NOX, TAX, ZN",0.0
"PTRATIO, RAD",0.0
"PTRATIO, TAX",0.0
"RAD, RM, TAX",0.0
"RAD, TAX, ZN",0.0
"AGE, B, INDUS",0.0
"AGE, B, LSTAT",0.0
"AGE, CHAS, RM",0.0
"AGE, CHAS, ZN",0.0
"AGE, CRIM, RM",0.0
"AGE, CRIM, ZN",0.0
"AGE, DIS, NOX",0.0
"AGE, DIS, RAD",0.0
"AGE, DIS, TAX",0.0
"AGE, NOX, RAD",0.0
"AGE, NOX, TAX",0.0
"AGE, RAD, TAX",0.0
"B, CHAS, CRIM",0.0
"B, DIS, INDUS",0.0
"B, DIS, LSTAT",0.0
"B, INDUS, NOX",0.0
"B, INDUS, RAD",0.0
"B, INDUS, TAX",0.0
"B, LSTAT, NOX",0.0
"B, LSTAT, RAD",0.0
"B, LSTAT, TAX",0.0
"CHAS, DIS, RM",0.0
"CHAS, DIS, ZN",0.0
"CHAS, NOX, RM",0.0
"CHAS, NOX, ZN",0.0
"CHAS, PTRATIO",0.0
"CHAS, RAD, RM",0.0
"CHAS, RAD, ZN",0.0
"CHAS, RM, TAX",0.0
"CHAS, TAX, ZN",0.0
"CRIM, DIS, RM",0.0
"CRIM, DIS, ZN",0.0
"CRIM, NOX, RM",0.0
"CRIM, NOX, ZN",0.0
"CRIM, PTRATIO",0.0
"CRIM, RAD, RM",0.0
"CRIM, RAD, ZN",0.0
"CRIM, RM, TAX",0.0
"CRIM, TAX, ZN",0.0
"DIS, NOX, RAD",0.0
"DIS, NOX, TAX",0.0
"DIS, RAD, TAX",0.0
"INDUS, RM, ZN",0.0
"LSTAT, RM, ZN",0.0
"NOX, RAD, TAX",0.0
"AGE, CHAS, DIS",0.0
"AGE, CHAS, NOX",0.0
"AGE, CHAS, RAD",0.0
"AGE, CHAS, TAX",0.0
"AGE, CRIM, DIS",0.0
"AGE, CRIM, NOX",0.0
"AGE, CRIM, RAD",0.0
"AGE, CRIM, TAX",0.0
"AGE, INDUS, RM",0.0
"AGE, INDUS, ZN",0.0
"AGE, LSTAT, RM",0.0
"AGE, LSTAT, ZN",0.0
"B, CHAS, INDUS",0.0
"B, CHAS, LSTAT",0.0
"B, CRIM, INDUS",0.0
"B, CRIM, LSTAT",0.0
"B, PTRATIO, RM",0.0
"B, PTRATIO, ZN",0.0
"CHAS, CRIM, RM",0.0
"CHAS, CRIM, ZN",0.0
"CHAS, DIS, NOX",0.0
"CHAS, DIS, RAD",0.0
"CHAS, DIS, TAX",0.0
"CHAS, NOX, RAD",0.0
"CHAS, NOX, TAX",0.0
"CHAS, RAD, TAX",0.0
"CRIM, DIS, NOX",0.0
"CRIM, DIS, RAD",0.0
"CRIM, DIS, TAX",0.0
"CRIM, NOX, RAD",0.0
"CRIM, NOX, TAX",0.0
"CRIM, RAD, TAX",0.0
"DIS, INDUS, RM",0.0
"DIS, INDUS, ZN",0.0
"DIS, LSTAT, RM",0.0
"DIS, LSTAT, ZN",0.0
"INDUS, NOX, RM",0.0
"INDUS, NOX, ZN",0.0
"INDUS, PTRATIO",0.0
"INDUS, RAD, RM",0.0
"INDUS, RAD, ZN",0.0
"INDUS, RM, TAX",0.0
"INDUS, TAX, ZN",0.0
"LSTAT, NOX, RM",0.0
"LSTAT, NOX, ZN",0.0
"LSTAT, PTRATIO",0.0
